SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
70.6075,0,6064,5716,0,212.196,10414,5643,8181,5641,173.698,0,0,3,5,435.728,153432,0,177887,0
40.6556,0,3496,8642,0,212.196,10414,8181,8181,958,357,0,0,0,87,435.728,154390,0,186529,0
39.2492,0,3372,0,0,213.669,6460,2865,5735,3372,192.266,0,0,7,0,1810.45,157762,0,186529,0
71.559,0,6150,1057,0,212.933,5083,3931,8191,2213,223,0,0,4,45,1549.11,159975,0,187586,0
49.0244,0,4216,4919,0,209.642,9327,888,6089,3228,230.199,0,0,23,1,101.489,163203,0,192505,0
120.288,0,10332,2780,0,207.721,34071,5634,8136,3069,111,0,0,36,65,3622.38,166272,0,195285,0
63.1097,0,5428,2702,0,207.721,34071,8136,8136,2926,202,0,0,0,110,3622.38,169198,0,197987,0
54.6286,0,4692,8136,0,221.566,25605,6609,8191,4692,162.853,0,0,25,0,2803.04,173890,0,206123,0
62.531,0,5371,347,0,221.566,25605,8191,8191,3789,233,0,0,0,23,2803.04,177679,0,206470,0
35.3717,0,3038,8229,0,210.22,6889,6176,8059,3038,204.005,0,0,19,7,248.906,180717,0,214699,0
56.6365,0,4865,0,0,209.344,8392,4664,8191,4865,200.189,0,0,20,0,45.1244,185582,0,214699,0
47.9565,0,4119,4772,0,209.698,9963,838,8140,1622,222.203,0,0,41,9,3619.98,187204,0,219471,0
133.039,0,11441,4151,0,207.36,9269,7062,8119,4093,140,0,0,26,98,722.234,191297,0,223622,0
36.5655,0,3141,8795,0,208.234,7301,7814,8139,2084,200.195,0,0,4,30,602.842,193381,0,232417,0
57.2303,0,4916,0,0,208.748,6468,7623,8182,4916,199.397,0,0,4,0,372.387,198297,0,232417,0
24.6372,0,2116,7623,0,208.748,6468,7623,8182,2116,199.397,0,0,0,0,372.387,200413,0,240040,0
57.6187,0,4949,0,0,219.563,30542,6071,7842,4949,196.652,0,0,7,0,165.075,205362,0,240040,0
50.2878,0,4323,141,0,219.563,30542,7842,7842,2552,282,0,0,0,16,165.075,207914,0,240181,0
31.2506,0,2685,7842,0,215.68,17888,812,8146,1764,269.825,0,0,9,0,777.353,209678,0,248023,0
47.6051,0,4089,0,0,205.855,12667,892,8151,0,254.151,0,0,96,0,34.2684,209678,0,248023,0
45.5216,0,3911,132,0,217.207,7873,848,8143,132,228.774,0,0,61,10,1827.19,209810,0,248155,0
50.4947,0,4340,3314,0,209.512,10496,3209,8184,743,257,0,0,29,11,935.777,210553,0,251469,0
59.4772,0,5109,625,0,208.597,16219,2934,8165,782,317,0,0,34,36,122.397,211335,0,252094,0
36.7919,0,3166,4165,0,208.266,11087,2831,8136,1960,314.408,0,0,9,4,65.2172,213295,0,256259,0
38.7199,0,3327,0,0,207.017,767,704,8159,421,312.776,0,0,62,0,35.7128,213716,0,256259,0
39.0427,0,3356,0,0,209.58,988,781,8158,0,274.571,0,0,91,0,1791.35,213716,0,256259,0
49.7001,0,4272,477,0,209.743,28197,1938,8172,345,209,0,0,82,29,28.2813,214061,0,256736,0
41.8437,0,3594,5082,0,209.743,28197,4850,8172,682,381,0,0,0,16,28.2813,214743,0,261818,0
31.047,0,2667,0,0,211.089,15523,629,8162,1120,373.542,0,0,37,0,40.6049,215863,0,261818,0
31.9512,0,2744,0,0,205.22,723,604,8169,0,360.967,0,0,91,0,41.2339,215863,0,261818,0
33.6091,0,2886,0,0,209.995,641,631,8156,0,342.094,0,0,90,0,34.2218,215863,0,261818,0
