SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
23.6139,0,2028,47,0,211.122,519,519,8189,47,0,0,0,481,17,357.267,4464,0,4464,0
23.2197,0,1994,106,0,208.363,546,546,7809,106,0,0,0,451,20,216.373,4570,0,4570,0
5.97434,0,514,69,0,209.92,559,559,8191,69,0,0,0,216,4,215.197,4639,0,4639,0
6.50797,0,559,559,0,209.386,7,45,7701,559,0,0,0,5,0,191.959,5198,0,5198,0
0.522224,0,45,45,0,209.386,2,45,7701,45,0,0,0,0,0,191.959,5243,0,5243,0
1.31565,0,113,0,0,205.721,24,24,8189,0,0,0,0,68,0,112.252,5243,0,5243,0
1.42001,0,122,0,0,205.157,26,26,8189,0,0,0,0,64,0,48.6071,5243,0,5243,0
1.60666,0,138,0,0,206.357,29,29,8189,0,0,0,0,69,0,38.0191,5243,0,5243,0
1.72223,0,149,0,0,204.185,31,31,8189,0,0,0,0,75,0,46.9997,5243,0,5243,0
1.64178,0,141,0,0,205.876,33,33,8187,0,0,0,0,72,0,45.9863,5243,0,5243,0
1.86317,0,160,0,0,205.013,36,36,8189,0,0,0,0,82,0,38.1239,5243,0,5243,0
2.40872,0,207,0,0,205.409,56,56,8190,0,0,0,0,97,0,38.8927,5243,0,5243,0
5.74999,0,494,0,0,208.682,130,130,8189,0,0,0,0,214,0,34.8858,5243,0,5243,0
10.188,0,875,0,0,206.821,206,206,8191,0,0,0,0,403,0,43.051,5243,0,5243,0
14.3702,0,1234,0,0,204.558,282,282,8189,0,0,0,0,582,0,93.3587,5243,0,5243,0
17.5591,0,1511,0,0,204.867,355,355,8189,0,0,0,0,723,0,35.0954,5243,0,5243,0
21.8316,0,1875,0,0,203.809,429,429,8191,0,0,0,0,905,0,42.5268,5243,0,5243,0
26.6165,0,2287,0,0,206.337,505,501,8189,0,0,0,0,1111,0,57.3198,5243,0,5243,0
16.4834,0,1416,57,0,210.831,530,495,8171,57,0,0,0,410,18,415.344,5300,0,5300,0
23.5003,0,2022,124,0,208.229,548,548,7818,124,0,0,0,297,20,83.3298,5424,0,5424,0
7.0602,0,608,87,0,209.475,557,557,8191,87,0,0,0,167,14,45.1244,5511,0,5511,0
6.47745,0,557,557,0,211.009,8,18,7681,557,0,0,0,6,0,44.7866,6068,0,6068,0
0.209583,0,18,18,0,211.009,2,18,7681,18,0,0,0,0,0,44.7866,6086,0,6086,0
0.558664,0,48,0,0,205.227,11,11,8189,0,0,0,0,29,0,37.1571,6086,0,6086,0
0.663301,0,57,0,0,204.894,13,13,8189,0,0,0,0,30,0,32.7891,6086,0,6086,0
0.83796,0,72,0,0,204.925,16,16,8189,0,0,0,0,38,0,31.6127,6086,0,6086,0
0.975629,0,84,0,0,205.439,18,18,8189,0,0,0,0,42,0,31.5428,6086,0,6086,0
1.11756,0,96,0,0,205.309,21,21,8189,0,0,0,0,51,0,30.774,6086,0,6086,0
1.02466,0,88,0,0,204.217,23,23,8189,0,0,0,0,44,0,30.8323,6086,0,6086,0
1.37303,0,118,0,0,204.698,25,25,8190,0,0,0,0,61,0,32.2067,6086,0,6086,0
1.52456,0,131,0,0,205.614,28,28,8189,0,0,0,0,67,0,34.3616,6086,0,6086,0
1.67673,0,144,0,0,206.425,30,30,8191,0,0,0,0,72,0,37.5997,6086,0,6086,0
1.85113,0,159,0,0,205.113,33,33,8189,0,0,0,0,80,0,41.3737,6086,0,6086,0
1.94452,0,167,0,0,207.355,35,35,8189,0,0,0,0,85,0,48.8051,6086,0,6086,0
1.82806,0,157,0,0,207.009,37,37,8189,0,0,0,0,81,0,48.0596,6086,0,6086,0
3.89992,0,335,0,0,217.829,99,99,8189,0,0,0,0,139,0,75.3043,6086,0,6086,0
8.34715,0,717,0,0,206.388,174,174,8189,0,0,0,0,324,0,50.6688,6086,0,6086,0
12.6098,0,1083,0,0,212.979,251,250,8189,0,0,0,0,506,0,42.3172,6086,0,6086,0
16.8041,0,1443,0,0,208.593,327,324,8189,0,0,0,0,687,0,83.6326,6086,0,6086,0
17.3239,0,1488,6,0,212.495,390,390,8189,6,0,0,0,712,4,49.5622,6092,0,6092,0
15.569,0,1337,7,0,209.413,411,411,8189,7,0,0,0,268,4,34.0005,6099,0,6099,0
15.789,0,1356,26,0,213.338,431,431,7922,26,0,0,0,253,16,33.4414,6125,0,6125,0
18.1302,0,1567,42,0,208.517,479,479,8189,42,0,0,0,693,5,314.612,6167,0,6167,0
21.3593,0,1836,30,0,206.683,510,510,8189,30,0,0,0,479,15,43.2374,6197,0,6197,0
22.2409,0,1910,44,0,208.549,536,536,8189,44,0,0,0,427,17,1875.81,6241,0,6241,0
19.028,0,1635,50,0,211.59,552,552,7814,50,0,0,0,273,6,487.713,6291,0,6291,0
19.5403,0,1680,102,0,213.211,577,577,8172,102,0,0,0,436,17,86.3932,6393,0,6393,0
24.1248,0,2074,74,0,218.186,607,607,8189,43,0,0,0,545,14,56.7491,6436,0,6467,0
22.2267,0,1910,153,0,226.676,624,624,8189,184,0,0,0,341,10,99.7535,6620,0,6620,0
27.2704,0,2343,324,0,205.746,651,649,8189,324,0,0,0,543,14,134.208,6944,0,6944,0
8.57569,0,737,187,0,207.515,664,664,8190,187,0,0,0,248,2,56.7724,7131,0,7131,0
8.26774,0,710,664,0,205.129,46,46,7636,664,0,0,0,47,0,51.5075,7795,0,7795,0
5.13956,0,443,0,0,225.495,119,119,8189,0,0,0,0,188,0,218.796,7795,0,7795,0
7.87078,0,676,0,0,207.107,184,184,8189,0,0,0,0,310,0,87.7793,7795,0,7795,0
12.7314,0,1094,0,0,207.001,258,258,8189,0,0,0,0,514,0,47.3841,7795,0,7795,0
17.5854,0,1511,0,0,209.392,336,336,8189,0,0,0,0,719,0,62.9574,7795,0,7795,0
22.2466,0,1911,0,0,207.254,414,414,8189,0,0,0,0,919,0,40.4186,7795,0,7795,0
21.073,0,1811,7,0,212.727,477,477,8189,7,0,0,0,872,1,69.7016,7802,0,7802,0
22.9634,0,1973,22,0,208.308,509,509,8191,22,0,0,0,495,11,1235.01,7824,0,7824,0
5.7614,0,495,76,0,209.827,521,521,8191,76,0,0,0,204,3,479.467,7900,0,7900,0
6.33253,0,544,521,0,206.821,23,23,7709,521,0,0,0,21,0,424.034,8421,0,8421,0
3.58984,0,309,0,0,206.53,91,91,8189,0,0,0,0,123,0,111.984,8421,0,8421,0
7.65428,0,658,0,0,206.883,165,165,8189,0,0,0,0,295,0,61.583,8421,0,8421,0
12.208,0,1051,0,0,209.164,242,242,8189,0,0,0,0,490,0,36.8077,8421,0,8421,0
14.767,0,1269,0,0,213.75,311,311,8189,0,0,0,0,603,0,33.3948,8421,0,8421,0
19.2442,0,1656,0,0,206.073,384,384,8189,0,0,0,0,796,0,35.3517,8421,0,8421,0
24.4037,0,2096,2,0,205.494,461,461,8190,2,0,0,0,1012,1,130.958,8423,0,8423,0
19.2112,0,1650,28,0,209.054,485,485,8189,28,0,0,0,349,14,84.4014,8451,0,8451,0
12.9947,0,1116,25,0,207.902,500,500,8190,25,0,0,0,230,17,163.759,8476,0,8476,0
23.3954,0,2010,120,0,205.678,532,532,8189,120,0,0,0,532,27,204.585,8596,0,8596,0
20.6309,0,1773,136,0,207.774,554,554,8189,136,0,0,0,368,2,174.65,8732,0,8732,0
18.3499,0,1578,86,0,213.33,579,579,8179,86,0,0,0,435,27,645.684,8818,0,8818,0
15.4625,0,1329,87,0,213.967,596,596,8191,87,0,0,0,325,12,96.4804,8905,0,8905,0
6.92897,0,596,596,0,213.967,2,596,8191,596,0,0,0,0,0,96.4804,9501,0,9501,0
0.535288,0,46,0,0,208.617,19,19,8189,0,0,0,0,17,0,52.183,9501,0,9501,0
3.25773,0,280,0,0,206.026,85,85,8189,0,0,0,0,109,0,36.0855,9501,0,9501,0
6.20205,0,533,0,0,205.873,150,148,8189,0,0,0,0,239,0,35.6196,9501,0,9501,0
11.0708,0,951,0,0,210.149,225,225,8189,0,0,0,0,441,0,58.8108,9501,0,9501,0
15.7451,0,1353,0,0,205.412,302,302,8189,0,0,0,0,640,0,36.0739,9501,0,9501,0
19.3167,0,1660,0,0,210.164,377,377,8191,0,0,0,0,796,0,43.6218,9501,0,9501,0
14.1218,0,1214,14,0,207.063,395,395,7835,14,0,0,0,214,10,36.7727,9515,0,9515,0
13.9938,0,1202,13,0,211.008,425,425,8190,13,0,0,0,382,7,34.5247,9528,0,9528,0
18.5081,0,1590,25,0,209.086,450,450,8189,25,0,0,0,350,15,34.2801,9553,0,9553,0
17.4205,0,1497,21,0,207.89,471,471,8191,21,0,0,0,292,15,35.5846,9574,0,9574,0
28.6032,0,2459,6,0,206.875,546,546,8191,6,0,0,0,1192,2,36.7145,9580,0,9580,0
12.9949,0,1116,84,0,206.768,547,547,8191,84,0,0,0,21,16,1748.47,9664,0,9664,0
0.733448,0,63,28,0,206.185,548,548,8191,28,0,0,0,17,1,1533.16,9692,0,9692,0
6.93968,0,596,548,0,205.137,23,23,8190,548,0,0,0,21,0,910.198,10240,0,10240,0
3.52772,0,303,0,0,206.416,90,90,8191,0,0,0,0,120,0,187.475,10240,0,10240,0
7.80882,0,672,0,0,206.875,165,165,8189,0,0,0,0,301,0,92.9976,10240,0,10240,0
11.0742,0,951,0,0,206.051,236,236,8189,0,0,0,0,442,0,56.0968,10240,0,10240,0
14.5026,0,1246,0,0,205.391,306,306,8189,0,0,0,0,592,0,39.5566,10240,0,10240,0
20.4578,0,1758,0,0,208.01,384,384,8189,0,0,0,0,842,0,33.4647,10240,0,10240,0
24.4675,0,2102,16,0,205.365,446,446,7767,16,0,0,0,804,3,34.1053,10256,0,10256,0
16.4339,0,1412,18,0,208.38,478,478,8191,18,0,0,0,462,11,44.8099,10274,0,10274,0
21.8954,0,1883,66,0,216.896,506,506,7687,66,0,0,0,434,3,36.8892,10340,0,10340,0
16.3487,0,1404,97,0,211.143,527,527,8191,97,0,0,0,346,23,32.3348,10437,0,10437,0
22.0469,0,1895,85,0,215.676,556,556,8190,85,0,0,0,481,24,32.1834,10522,0,10522,0
22.2853,0,1914,119,0,216.367,578,578,8189,119,0,0,0,395,10,88.2103,10641,0,10641,0
20.2694,0,1742,179,0,213.833,603,603,8169,179,0,0,0,459,19,47.2909,10820,0,10820,0
22.4008,0,1925,60,0,211.082,626,626,8189,60,0,0,0,451,8,720.755,10880,0,10880,0
27.4668,0,2361,312,0,206.034,653,653,7793,312,0,0,0,537,15,165.786,11192,0,11192,0
8.98423,0,772,122,0,210.297,665,665,8190,122,0,0,0,255,12,150.69,11314,0,11314,0
7.85168,0,675,665,0,206.781,10,10,8109,665,0,0,0,8,0,238.481,11979,0,11979,0
2.10584,0,181,0,0,207.281,62,62,8189,0,0,0,0,66,0,833.205,11979,0,11979,0
6.1223,0,527,0,0,209.214,136,136,8189,0,0,0,0,230,0,119.963,11979,0,11979,0
10.3781,0,893,0,0,241.3,211,211,8189,0,0,0,0,410,0,47.6403,11979,0,11979,0
13.8136,0,1187,0,0,206.82,284,284,8189,0,0,0,0,562,0,97.5986,11979,0,11979,0
18.2683,0,1570,0,0,204.353,358,358,8189,0,0,0,0,750,0,388.764,11979,0,11979,0
21.6232,0,1859,0,0,213.237,431,429,8189,0,0,0,0,896,0,46.2542,11979,0,11979,0
27.8141,0,2390,0,0,208.905,510,510,8191,0,0,0,0,1157,0,32.8474,11979,0,11979,0
22.6917,0,1949,23,0,205.893,551,551,8191,23,0,0,0,679,13,37.7279,12002,0,12002,0
15.719,0,1350,142,0,208.467,571,571,8189,142,0,0,0,351,11,68.3621,12144,0,12144,0
0,0,0,0,0,208.467,571,571,8191,0,0,0,0,0,0,68.3621,12144,0,12144,0
8.097,0,696,571,0,205.224,49,49,8189,571,0,0,0,52,0,64.4367,12715,0,12715,0
3.93412,0,338,0,0,206.812,107,107,8189,0,0,0,0,141,0,54.1166,12715,0,12715,0
8.84386,0,760,0,0,210.368,183,183,8189,0,0,0,0,346,0,33.8957,12715,0,12715,0
13.2498,0,1138,0,0,207.38,260,260,8189,0,0,0,0,533,0,156.27,12715,0,12715,0
17.0242,0,1464,0,0,207.147,335,335,8189,0,0,0,0,698,0,47.4074,12715,0,12715,0
20.805,0,1789,0,0,208.052,409,409,8189,0,0,0,0,861,0,44.9496,12715,0,12715,0
23.5985,0,2028,7,0,207.336,479,479,8190,7,0,0,0,977,2,34.548,12722,0,12722,0
0,0,0,0,0,207.336,479,479,8191,0,0,0,0,0,0,34.548,12722,0,12722,0
5.57462,0,479,479,0,208.217,4,11,7725,479,0,0,0,2,0,34.2102,13201,0,13201,0
0.256116,0,22,11,0,208.349,6,6,8190,11,0,0,0,9,0,33.4647,13212,0,13212,0
0.360465,0,31,0,0,205.596,8,8,8189,0,0,0,0,15,0,32.428,13212,0,13212,0
0.499783,0,43,0,0,204.709,10,10,8191,0,0,0,0,23,0,32.4513,13212,0,13212,0
0.66304,0,57,0,0,206.334,13,13,8189,0,0,0,0,30,0,174.207,13212,0,13212,0
